"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36752","userCantTransferInvalidAmountTest(Object, String) [2] -0.01, ❌ Error: Transfer amount must be at least 0.01","","Tue May 19 18:12:07 UTC 2026","passed","Tue May 19 18:12:44 UTC 2026","","ui.itteration2.UserTransactionTest","ui.itteration2.UserTransactionTest","userCantTransferInvalidAmountTest"
"","47","unauthUserCannotDepositToAcc()","","Tue May 19 18:11:38 UTC 2026","passed","Tue May 19 18:11:38 UTC 2026","","api.itteration2.UserDepositTest","api.itteration2.UserDepositTest","unauthUserCannotDepositToAcc"
"","38364","userCantDepositInvalidFloatAmountTest(Object, String) [1] -0.0, ❌ Please enter a valid amount.","","Tue May 19 18:12:18 UTC 2026","passed","Tue May 19 18:12:57 UTC 2026","","ui.itteration2.UserDepositTest","ui.itteration2.UserDepositTest","userCantDepositInvalidFloatAmountTest"
"","2906","adminCanCreateUserWithCorrectDataTest()","","Tue May 19 18:11:33 UTC 2026","passed","Tue May 19 18:11:36 UTC 2026","","api.itteration1.CreateUserTest","api.itteration1.CreateUserTest","adminCanCreateUserWithCorrectDataTest"
"","42628","userCantTransferInvalidAmountTest(Object, String) [3] 0.0, ❌ Error: Transfer amount must be at least 0.01","","Tue May 19 18:12:10 UTC 2026","passed","Tue May 19 18:12:53 UTC 2026","","ui.itteration2.UserTransactionTest","ui.itteration2.UserTransactionTest","userCantTransferInvalidAmountTest"
"","25162","userCantDepositInvalidFloatAmountTest(Object, String) [10] JHQYdIW, ❌ Please enter a valid amount.","","Tue May 19 18:12:50 UTC 2026","passed","Tue May 19 18:13:15 UTC 2026","","ui.itteration2.UserDepositTest","ui.itteration2.UserDepositTest","userCantDepositInvalidFloatAmountTest"
"","15602","transactionPageButtonsVisibleChecksTest()","","Tue May 19 18:11:58 UTC 2026","passed","Tue May 19 18:12:13 UTC 2026","","ui.itteration2.UserTransactionTest","ui.itteration2.UserTransactionTest","transactionPageButtonsVisibleChecksTest"
"","3643","userCannotTransferMoreThanHeHas()","","Tue May 19 18:11:37 UTC 2026","passed","Tue May 19 18:11:40 UTC 2026","","api.itteration2.UserTransactionTest","api.itteration2.UserTransactionTest","userCannotTransferMoreThanHeHas"
"","26633","userCantDepositInvalidFloatAmountTest(Object, String) [8] $, ❌ Please enter a valid amount.","","Tue May 19 18:12:50 UTC 2026","passed","Tue May 19 18:13:16 UTC 2026","","ui.itteration2.UserDepositTest","ui.itteration2.UserDepositTest","userCantDepositInvalidFloatAmountTest"
"","38902","userCantTransferInvalidAmountTest(Object, String) [10] null, ❌ Please fill all fields and confirm.","","Tue May 19 18:12:34 UTC 2026","passed","Tue May 19 18:13:13 UTC 2026","","ui.itteration2.UserTransactionTest","ui.itteration2.UserTransactionTest","userCantTransferInvalidAmountTest"
