"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5425","userCannotDepositToAnotherUserAcc()","","Thu May 21 02:21:13 UTC 2026","passed","Thu May 21 02:21:18 UTC 2026","","api.itteration2.UserDepositTest","api.itteration2.UserDepositTest","userCannotDepositToAnotherUserAcc"
"","2473","Negative: Login with non-existent user returns 404","","Thu May 21 02:21:13 UTC 2026","passed","Thu May 21 02:21:15 UTC 2026","","api.itteration1.LoginUserTest","api.itteration1.LoginUserTest","loginWithNonExistentUserTest"
"","23234","transactionEmptyRecipientNameFieldTest()","","Thu May 21 02:21:32 UTC 2026","passed","Thu May 21 02:21:55 UTC 2026","","ui.itteration2.UserTransactionTest","ui.itteration2.UserTransactionTest","transactionEmptyRecipientNameFieldTest"
"","54545","userCanDepositValidAmountTest(Object, String, String) [6] .01, ✅ Successfully deposited $%s to account %s!, .01","","Thu May 21 02:21:32 UTC 2026","passed","Thu May 21 02:22:26 UTC 2026","","ui.itteration2.UserDepositTest","ui.itteration2.UserDepositTest","userCanDepositValidAmountTest"
"","9813","transactionEmptyAmountFieldTest()","","Thu May 21 02:21:31 UTC 2026","passed","Thu May 21 02:21:41 UTC 2026","","ui.itteration2.UserTransactionTest","ui.itteration2.UserTransactionTest","transactionEmptyAmountFieldTest"
"","20844","userCanEditProfileWithValidNameTest(String) [1] Ivan Ivanou","","Thu May 21 02:21:31 UTC 2026","passed","Thu May 21 02:21:52 UTC 2026","","ui.itteration2.EditProfileTest","ui.itteration2.EditProfileTest","userCanEditProfileWithValidNameTest"
"","287","adminCanNotDeleteUserWithInvalidIdFormatTest()","","Thu May 21 02:21:16 UTC 2026","passed","Thu May 21 02:21:16 UTC 2026","","api.itteration1.CreateUserTest","api.itteration1.CreateUserTest","adminCanNotDeleteUserWithInvalidIdFormatTest"
"","251","adminCanNotCreateUserWithIncorrectDataTest(String, String, String, String, String) [1]   , Password12$, USER, username, Username cannot be blank","","Thu May 21 02:21:18 UTC 2026","passed","Thu May 21 02:21:18 UTC 2026","","api.itteration1.CreateUserTest","api.itteration1.CreateUserTest","adminCanNotCreateUserWithIncorrectDataTest"
"","17849","transactionEmptyRecipientAccountFieldTest()","","Thu May 21 02:21:32 UTC 2026","passed","Thu May 21 02:21:49 UTC 2026","","ui.itteration2.UserTransactionTest","ui.itteration2.UserTransactionTest","transactionEmptyRecipientAccountFieldTest"
"","15769","userCanLoginWithCorrectDataTest()","","Thu May 21 02:21:32 UTC 2026","passed","Thu May 21 02:21:47 UTC 2026","","ui.itteration1.LoginUserTest","ui.itteration1.LoginUserTest","userCanLoginWithCorrectDataTest"
"","32521","adminCanCreateUserTest()","","Thu May 21 02:21:32 UTC 2026","passed","Thu May 21 02:22:04 UTC 2026","","ui.itteration1.CreateUserTest","ui.itteration1.CreateUserTest","adminCanCreateUserTest"
"","3357","userCantDepositInvalidFloatAmountTest(Object, String) [9] null, ❌ Please enter a valid amount.","","Thu May 21 02:22:32 UTC 2026","passed","Thu May 21 02:22:36 UTC 2026","","ui.itteration2.UserDepositTest","ui.itteration2.UserDepositTest","userCantDepositInvalidFloatAmountTest"
"","3239","userCantDepositInvalidFloatAmountTest(Object, String) [10] RnEKI, ❌ Please enter a valid amount.","","Thu May 21 02:22:32 UTC 2026","passed","Thu May 21 02:22:36 UTC 2026","","ui.itteration2.UserDepositTest","ui.itteration2.UserDepositTest","userCantDepositInvalidFloatAmountTest"
"","3124","userCanTransferToAnotherAcc(float) [2] 999.99","","Thu May 21 02:21:24 UTC 2026","passed","Thu May 21 02:21:27 UTC 2026","","api.itteration2.UserTransactionTest","api.itteration2.UserTransactionTest","userCanTransferToAnotherAcc"
"","311","adminCanNotCreateUserWithIncorrectDataTest(String, String, String, String, String) [2] ab, Password12$, USER, username, Username must be between 3 and 15 characters","","Thu May 21 02:21:18 UTC 2026","passed","Thu May 21 02:21:19 UTC 2026","","api.itteration1.CreateUserTest","api.itteration1.CreateUserTest","adminCanNotCreateUserWithIncorrectDataTest"
